db,s1,s2,s3,vm,HomeTeam_name,AwayTeam_name,db_HomeWin,s1_HomeWin,s2_HomeWin,s3_HomeWin,vm_HomeWin,HomeTeam_win,HomeTeam_rate_AAA_and_S,AwayTeam_rate_AAA_and_S,HomeTeam_rate_S,AwayTeam_rate_S
20,03,32,13,01,琉球アスティーダ,木下マイスター東京,1,0,1,0,0,0,0.4166666666666667,0.45454545454545453,0.4166666666666667,0.45454545454545453
21,31,31,03,00,日本生命レッドエルフ,九州アスティーダ,1,1,1,0,0,1,0.4166666666666667,0.4,0.3333333333333333,0.2
21,13,30,13,10,岡山リベッツ,T.T彩たま,1,0,1,0,1,1,0.7,0.8181818181818182,0.1,0.45454545454545453
20,32,31,31,00,日本ペイントマレッツ,木下アビエル神奈川,1,1,1,1,0,1,0.8333333333333334,0.16666666666666666,0.25,0.16666666666666666
21,30,03,13,10,日本生命レッドエルフ,トップおとめピンポンズ名古屋,1,1,0,0,1,1,0.4166666666666667,0.4166666666666667,0.3333333333333333,0.25
20,03,30,03,10,日本生命レッドエルフ,木下アビエル神奈川,1,0,1,0,1,1,0.4166666666666667,0.16666666666666666,0.3333333333333333,0.16666666666666666
12,13,30,30,01,トップおとめピンポンズ名古屋,日本ペイントマレッツ,0,0,1,1,0,0,0.4166666666666667,0.8333333333333334,0.25,0.25
20,32,31,30,00,木下マイスター東京,岡山リベッツ,1,1,1,1,0,1,0.45454545454545453,0.7,0.45454545454545453,0.1
12,13,30,32,10,日本ペイントマレッツ,日本生命レッドエルフ,0,0,1,1,1,1,0.8333333333333334,0.4166666666666667,0.25,0.3333333333333333
12,03,31,31,10,九州アスティーダ,日本ペイントマレッツ,0,0,1,1,1,1,0.4,0.8333333333333334,0.2,0.25
12,23,32,31,01,T.T彩たま,木下マイスター東京,0,0,1,1,0,0,0.8181818181818182,0.45454545454545453,0.45454545454545453,0.45454545454545453
02,31,30,03,10,木下マイスター東京,琉球アスティーダ,0,1,1,0,1,1,0.45454545454545453,0.4166666666666667,0.45454545454545453,0.4166666666666667
02,31,32,30,00,T.T彩たま,岡山リベッツ,0,1,1,1,0,1,0.8181818181818182,0.7,0.45454545454545453,0.1
02,30,30,13,10,木下アビエル神奈川,トップおとめピンポンズ名古屋,0,1,1,0,1,1,0.16666666666666666,0.4166666666666667,0.16666666666666666,0.25
